2432470.86089,5647964.17141
5166604.53494,5993834.86324
5840404.33715,6036177.43622
4292643.20088,5896646.82597
3415385.83656,5895012.59483
7263889.43972,5759069.74889
6080016.57379,5739172.16557
4898728.35999,5155434.55018
3622753.7456,3440086.39366
9947741.99279,5560505.51213
3850817.75749,5163366.541
7103323.83818,5910464.16902
3853851.56037,5382308.76364
7537377.53579,5597329.69305
7077163.3792,5614255.88108
3133510.02485,2359840.95176
1635935.88641,5187210.83457
3259817.51866,3754242.73913
3938190.9659,4325022.78996
2277371.86801,5527150.01925
4231593.33458,4571133.80171
934972.276708,5572827.3967
2535904.89405,5828694.12933
3011775.85183,4708691.81416
1663674.15463,4767534.68937
2896612.15413,4803265.28915
2345703.22151,5059114.08719
3104112.10096,4270224.24463
4308033.02969,5908542.4325
7845433.66253,4402459.98496
4925959.22955,5049863.53728
3539160.21401,5546809.60627
6354503.64997,5790390.71595
5088418.78018,6052619.88314
4654053.74735,2346644.51133
3615883.58811,256962.716072
4444860.63171,3704344.59112
4612078.60717,4999060.86266
7260099.91242,3207350.74623
1842591.48339,1506109.14251
2011239.80839,3870504.97646
5571658.00595,5826683.40735
3969237.00383,5815539.60454
4383239.35545,5168065.61762
4918380.86541,4625503.82088
2849242.39358,5984265.78132
2301841.56861,5824584.47762
5098246.40778,5813821.24639
5705467.14531,4567009.22245
7063794.41586,4622874.10972
